Longitude,Latitude,Latency
144.9531060525941,-37.816338784282465,187.75
144.9570178313874,-37.820324893775734,1.0
144.95573224690378,-37.810855580369775,2.6
144.95324748239918,-37.81073844721558,22.77
144.95951849254448,-37.82054101611249,58.33
144.96812864580255,-37.81850857478502,18.21
144.95379017250914,-37.817903228045616,40.8
144.97152206708788,-37.819972257765514,11.57
144.9534368787032,-37.81782204440174,0.93
144.96697433843352,-37.81249865552202,41.66
144.97009761520587,-37.81561550336991,10.67
144.95458968006014,-37.817303306678895,37.26
144.9545119529801,-37.812755099268465,67.0
144.97391684093193,-37.81387422411879,74.96
144.95554548303943,-37.80956075894608,8.21
144.9745597127599,-37.81256241513789,1.5
144.95686227616227,-37.81471889286733,6.5
144.96478892962932,-37.81015704716098,7.8
144.9540164637657,-37.81154346652437,3.0
144.9534570600847,-37.815307380379394,0.33
144.96520296430114,-37.81285871992397,4.0
144.9601010647154,-37.812130111795796,744.0
144.96488427253996,-37.8144823585761,16.0
144.95777415136118,-37.818750838023895,48.18
144.9536331528954,-37.8167121617542,30.84
144.95458184952983,-37.811660272022614,121.46
144.9555007415428,-37.816947476092956,7.2
144.97172828082938,-37.8114674487852,3.0
144.9686287878421,-37.813490162749304,4.83
144.97240233089525,-37.813286291771874,125.18
144.96260297854047,-37.81902601788349,20.8
144.95731063443378,-37.81471586195368,13.0
144.95431840491455,-37.81214589850976,9.2
144.9734891809776,-37.81650137103059,3.95
144.96273828618024,-37.81912302160961,31.0
144.96513673577795,-37.810791367386706,89.0
144.9702867791947,-37.81891584432387,87.75
144.95836599493867,-37.81896955807859,15.91
144.9615546082573,-37.81244989566398,6.0
144.9536601156656,-37.82059935692108,5.15
144.95499099346227,-37.812128828760194,24.13
144.9531475244706,-37.81247673384699,19.0
144.96873752896576,-37.812757931835876,12.0
144.958243999444,-37.80919211906006,66.0
144.95659737344116,-37.8160922063611,43.25
144.95443878526635,-37.81575442115268,5.91
144.96572034027514,-37.81944825446881,40.84
144.95881524715313,-37.819725216403526,3.63
144.96687884668583,-37.809049779306605,26.75
144.96972746397688,-37.81489198459505,88.31
144.9654159815585,-37.81309173274493,84.92
144.97359763514834,-37.80948411310483,23.0
144.95536467289185,-37.81057715733733,269.25
144.96115561625342,-37.81886631734525,1.67
144.95302127195384,-37.809790706232725,86.5
144.96696473719643,-37.81315093490773,14.88
144.96092493029707,-37.809271444153154,6.0
144.96156118848438,-37.81616988818279,8.8
144.96337521428552,-37.81799626809493,13.25
144.9679340372927,-37.8201915305476,48.33
144.96786909729866,-37.81146681773874,83.5
144.9568601762415,-37.81038785539343,334.1
144.9613432797274,-37.81551053340898,78.5
144.97285556726138,-37.81187377529996,4.5
144.97161880703646,-37.81914119619538,1.0
144.96411192141028,-37.820792939404235,1.66
144.95495951547153,-37.81823408432013,7.84
144.96112756166315,-37.813180922800264,71.5
144.968993180321,-37.811741238666364,8.2
144.9610578995097,-37.81031886067939,42.6
144.95890436101715,-37.809433988417354,10.6
144.9718098112406,-37.82050165406416,13.67
144.97045528184609,-37.81937976040446,8.66
144.95338056619156,-37.812546251129774,4.0
144.9580266892497,-37.80996175911426,3.5
144.97416745345066,-37.81278751602702,47.0
144.9562652665413,-37.813432357018314,26.0
144.95862000884622,-37.80921023242041,6.4
144.96746634878735,-37.81369964145944,68.5
144.97188072346887,-37.81795096785058,6.0
144.95211131914763,-37.81452738889651,35.2
144.95282669902988,-37.81604579416749,14.66
144.97352940180045,-37.81907591071673,1.0
144.97089880299816,-37.81611522089643,44.75
144.9590927870255,-37.82056844917915,2.0
144.96256253310628,-37.813284477190486,6.66
144.96962717272402,-37.81985111638481,5.17
144.97192171327202,-37.818205078879245,5.4
144.95478766521933,-37.813339587768866,152.0
144.96310705279058,-37.81157063193758,15.0
144.9521450005415,-37.82063599021943,3.0
144.97460674766853,-37.81239708205452,1.0
144.95839123158845,-37.812139597695705,2.37
144.96241237897001,-37.8198806818114,31.17
144.97017710398922,-37.81212690529719,96.78
144.960927813429,-37.81640033271934,4.44
144.97092881497161,-37.81693227851056,5.8
144.9533670392771,-37.81066615096843,8.8
144.96783983713246,-37.81351485368378,30.75
144.97324709973594,-37.809230876035514,14.85
144.97239511248617,-37.81348744343672,52.93
144.97307805994888,-37.81998633388862,2.34
144.9550617516769,-37.81784234163966,7.8
144.9656045353428,-37.81664855577571,28.0
144.96268356103297,-37.812733655346754,1.0
144.96108767191794,-37.81609437628891,7.0
144.96331057787884,-37.8157045007312,9.0
144.96230688675897,-37.81816418394219,6.38
144.95471825258073,-37.81072284265087,32.94
144.9719263964928,-37.81935443262973,1.0
144.96880267317022,-37.811965623868836,140.25
144.96518671941325,-37.813829732031756,53.22
144.95885292948088,-37.818708764430646,0.77
144.97115730153462,-37.81205485440772,3.0
144.97213260206573,-37.81887056640323,9.2
144.9722891763905,-37.81895663314463,33.4
144.95352918778352,-37.81994869401181,4.0
144.95447933543826,-37.820381933196,11.0
144.96094740640623,-37.817199762348444,26.0
144.97289032978836,-37.81213736245674,97.47
144.9738951438599,-37.81960756248106,7.4
144.9632632965585,-37.81982214090608,1.0
144.96689785628544,-37.81158028300575,4.83
144.97117179765854,-37.815558185780056,6.0
144.96685561227576,-37.816419129031274,6.0
144.9601546756545,-37.80969878255141,338.86
144.96169907491333,-37.81878059945833,37.38
144.96834164959785,-37.81798096669312,1883.33
144.9591425752506,-37.81000169907477,110.5
144.97366927500423,-37.80923315561272,13.67
144.96413481290872,-37.8150033723608,98.67
144.96496015028674,-37.815280844018474,7.0
144.9523696275797,-37.81298447376668,4.0
144.96344260453165,-37.814101852717144,23.5
144.957039302771,-37.81949147858334,3881.25
144.9689427902034,-37.81077729762918,5.23
144.9642657694304,-37.81760515827204,13.5
144.95601980156192,-37.8179777968762,7.25
144.9740182539448,-37.81394199537282,236.75
144.9579452447026,-37.810298538326705,2.0
144.96043623580047,-37.82061677136023,4.5
144.97413312231006,-37.81153318792115,5.0
144.96803818567255,-37.8136682925018,81.0
144.95260609795818,-37.809188802307254,6.2
144.97075266230377,-37.81768405739921,1.0
144.9731597781197,-37.80960618808828,225.0
144.96248291876952,-37.81603100170263,4.5
144.96912480465346,-37.81926596266887,16.12
144.9723871953674,-37.81141683204726,45.4
144.95318574908646,-37.81702766628024,142.96
144.97388661719378,-37.81281324286034,5.0
144.9659581076424,-37.81632360087759,1.0
144.95416865956417,-37.81461332231416,289.0
144.95630002317662,-37.818760297084886,13.53
144.966907162407,-37.809842617718914,46.5
144.97250155711365,-37.816451960464114,5.0
144.95714246134318,-37.81358338536685,19.5
144.95211073667033,-37.81875147864046,23.4
144.9604005984521,-37.81642814289238,162.5
144.9605532627931,-37.81205320428955,2.0
144.95256009765484,-37.814249823988064,484.0
144.97345958820574,-37.820476859501774,233.85
144.9590293772249,-37.811293201292415,6.0
144.96404376001928,-37.816101882790896,21.0
144.95878022306513,-37.819338719742035,81.0
144.9538835946993,-37.813018029377176,96.22
